codigo_mesorregiao;mesorregiao;tipo_atividade;nro_produtores_und_cafe_graos;qtd_produzida_ton_cafe_graos;qtd_vendida_ton_cafe_graos;valor_produzido_curr_x_1000_cafe_graos;valor_vendido_currX1000_cafe_graos
3109;Oeste de Minas (MG);Produção florestal - florestas plantadas;1;0;0;0;0
3109;Oeste de Minas (MG);Produção florestal - florestas nativas;0;0;0;0;0
3110;Sul/Sudoeste de Minas (MG);Produção de lavouras temporárias;5;0;0;0;0
3110;Sul/Sudoeste de Minas (MG);Produção de lavouras permanentes;41;93.8;64;901.3;712.45
3110;Sul/Sudoeste de Minas (MG);Produção florestal - florestas plantadas;1;0;0;0;0
3110;Sul/Sudoeste de Minas (MG);Produção florestal - florestas nativas;0;0;0;0;0
3111;Campo das Vertentes (MG);Produção de lavouras temporárias;0;0;0;0;0
3111;Campo das Vertentes (MG);Produção de lavouras permanentes;2;0;0;0;0
3111;Campo das Vertentes (MG);Produção florestal - florestas plantadas;0;0;0;0;0
3111;Campo das Vertentes (MG);Produção florestal - florestas nativas;0;0;0;0;0
3112;Zona da Mata (MG);Produção de lavouras temporárias;3;1.38;1.2;17.79;16.8
3112;Zona da Mata (MG);Produção de lavouras permanentes;19;60.07;55.52;719.87;679.81
3112;Zona da Mata (MG);Produção florestal - florestas plantadas;0;0;0;0;0
3112;Zona da Mata (MG);Produção florestal - florestas nativas;0;0;0;0;0
3201;Noroeste Espírito-santense (ES);Produção de lavouras temporárias;1;0;0;0;0
3201;Noroeste Espírito-santense (ES);Produção de lavouras permanentes;26;479.91;359.07;2899.19;2151.37
3201;Noroeste Espírito-santense (ES);Produção florestal - florestas plantadas;0;0;0;0;0
3201;Noroeste Espírito-santense (ES);Produção florestal - florestas nativas;0;0;0;0;0
3202;Litoral Norte Espírito-santense (ES);Produção de lavouras temporárias;0;0;0;0;0
3202;Litoral Norte Espírito-santense (ES);Produção de lavouras permanentes;9;0;0;0;0
3202;Litoral Norte Espírito-santense (ES);Produção florestal - florestas plantadas;0;0;0;0;0
3202;Litoral Norte Espírito-santense (ES);Produção florestal - florestas nativas;0;0;0;0;0
3203;Central Espírito-santense (ES);Produção de lavouras temporárias;3;0;0;0;0
3203;Central Espírito-santense (ES);Produção de lavouras permanentes;39;29.96;24.16;204.07;178.93
3203;Central Espírito-santense (ES);Produção florestal - florestas plantadas;2;0;0;0;0
3203;Central Espírito-santense (ES);Produção florestal - florestas nativas;0;0;0;0;0
3204;Sul Espírito-santense (ES);Produção de lavouras temporárias;63;2.4;0;15.11;0
3204;Sul Espírito-santense (ES);Produção de lavouras permanentes;111;709;672.94;4037.62;3804.68
3204;Sul Espírito-santense (ES);Produção florestal - florestas plantadas;0;0;0;0;0
3204;Sul Espírito-santense (ES);Produção florestal - florestas nativas;0;0;0;0;0
3301;Noroeste Fluminense (RJ);Produção de lavouras temporárias;0;0;0;0;0
3301;Noroeste Fluminense (RJ);Produção de lavouras permanentes;0;0;0;0;0
3301;Noroeste Fluminense (RJ);Produção florestal - florestas plantadas;0;0;0;0;0
3301;Noroeste Fluminense (RJ);Produção florestal - florestas nativas;0;0;0;0;0
3302;Norte Fluminense (RJ);Produção de lavouras temporárias;1;0;0;0;0
3302;Norte Fluminense (RJ);Produção de lavouras permanentes;0;0;0;0;0
3302;Norte Fluminense (RJ);Produção florestal - florestas plantadas;0;0;0;0;0
3302;Norte Fluminense (RJ);Produção florestal - florestas nativas;0;0;0;0;0
3303;Centro Fluminense (RJ);Produção de lavouras temporárias;0;0;0;0;0
3303;Centro Fluminense (RJ);Produção de lavouras permanentes;2;0;0;0;0
3303;Centro Fluminense (RJ);Produção florestal - florestas plantadas;0;0;0;0;0
3303;Centro Fluminense (RJ);Produção florestal - florestas nativas;0;0;0;0;0
3304;Baixadas (RJ);Produção de lavouras temporárias;0;0;0;0;0
3304;Baixadas (RJ);Produção de lavouras permanentes;0;0;0;0;0
3304;Baixadas (RJ);Produção florestal - florestas plantadas;0;0;0;0;0
3304;Baixadas (RJ);Produção florestal - florestas nativas;0;0;0;0;0
3305;Sul Fluminense (RJ);Produção de lavouras temporárias;0;0;0;0;0
3305;Sul Fluminense (RJ);Produção de lavouras permanentes;0;0;0;0;0
3305;Sul Fluminense (RJ);Produção florestal - florestas plantadas;0;0;0;0;0
3305;Sul Fluminense (RJ);Produção florestal - florestas nativas;0;0;0;0;0
3306;Metropolitana do Rio de Janeiro (RJ);Produção de lavouras temporárias;0;0;0;0;0
